time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-10 00:00:00+00:00,10,9,8,6
2025-04-11 00:00:00+00:00,13,12,42,8
2025-04-12 00:00:00+00:00,5,5,46,14
2025-04-13 00:00:00+00:00,12,12,25,5
2025-04-14 00:00:00+00:00,6,6,20,12
2025-04-15 00:00:00+00:00,10,7,43,11
2025-04-16 00:00:00+00:00,9,8,33,13
2025-04-17 00:00:00+00:00,8,6,23,7
2025-04-18 00:00:00+00:00,23,14,42,6
2025-04-19 00:00:00+00:00,6,6,7,6
2025-04-20 00:00:00+00:00,9,8,5,3
2025-04-21 00:00:00+00:00,14,12,10,5
2025-04-22 00:00:00+00:00,6,6,8,8
2025-04-23 00:00:00+00:00,7,7,60,60
2025-04-24 00:00:00+00:00,34,17,801,798
2025-04-25 00:00:00+00:00,11,11,13,11
2025-04-26 00:00:00+00:00,23,15,33,15
2025-04-27 00:00:00+00:00,18,14,11,7
2025-04-28 00:00:00+00:00,13,10,6,5
2025-04-29 00:00:00+00:00,7,7,10,6
2025-04-30 00:00:00+00:00,13,11,12,7
2025-05-01 00:00:00+00:00,7,7,8,8
2025-05-02 00:00:00+00:00,16,13,8,7
2025-05-03 00:00:00+00:00,10,10,11,8
2025-05-04 00:00:00+00:00,13,9,17,7
2025-05-05 00:00:00+00:00,17,12,26,12
2025-05-06 00:00:00+00:00,9,9,5,4
2025-05-07 00:00:00+00:00,7,7,5,3
2025-05-08 00:00:00+00:00,9,9,3,3
2025-05-09 00:00:00+00:00,9,9,13,8
2025-05-10 00:00:00+00:00,9,9,31,7
2025-05-11 00:00:00+00:00,12,11,30,8
2025-05-12 00:00:00+00:00,11,8,26,9
2025-05-13 00:00:00+00:00,9,9,10,8
2025-05-14 00:00:00+00:00,11,8,34,7
2025-05-15 00:00:00+00:00,15,12,13,6
2025-05-16 00:00:00+00:00,18,13,11,7
2025-05-17 00:00:00+00:00,16,14,18,5
